hospital_id,hospital_name,region,city,capacity_beds,capacity_staff,date,patients_admitted,patients_released,patients_in_care,icu_patients,available_beds,available_staff,emergency_cases,mortality_rate,disease_name,new_cases,new_deaths,vaccination_rate,test_positivity_rate,risk_level,temperature_c,humidity_percent,population_density,public_alert,region_mobility_index,medical_supplies_index,staff_absence_rate,avg_wait_time_minutes,response_time_minutes
7,Centre Hospitalier Régional de Louga,Louga,Louga,522,369,2024-07-23,89,76,323,23,199,364,26,3.6,Choléra,45,7,75.52,8.22,modéré,31.0,54.1,1243.7,False,0.85,0.99,0.03,90.5,30.7
7,Centre Hospitalier Régional de Louga,Louga,Louga,522,369,2024-07-24,82,33,172,11,350,353,57,2.55,Choléra,69,2,47.47,14.1,modéré,38.0,53.0,2351.2,False,0.69,0.79,0.15,30.1,22.1
7,Centre Hospitalier Régional de Louga,Louga,Louga,522,369,2024-07-25,22,27,124,8,398,357,5,0.89,Covid-19,34,0,42.33,26.69,modéré,32.7,85.9,652.6,False,0.94,0.49,0.07,93.4,19.8
7,Centre Hospitalier Régional de Louga,Louga,Louga,522,369,2024-07-26,70,55,60,23,462,360,41,2.92,Paludisme,103,10,44.43,15.88,élevé,23.5,69.4,1059.5,True,0.72,0.7,0.15,169.0,4.2
7,Centre Hospitalier Régional de Louga,Louga,Louga,522,369,2024-07-27,16,20,477,21,45,351,51,2.26,Dengue,5,10,65.22,23.33,faible,36.6,86.0,3757.3,False,0.44,0.63,0.03,63.5,45.2
7,Centre Hospitalier Régional de Louga,Louga,Louga,522,369,2024-07-28,50,6,470,6,52,330,20,0.89,Dengue,118,5,37.32,15.5,élevé,33.2,58.6,257.7,True,0.83,0.98,0.15,135.8,18.4
7,Centre Hospitalier Régional de Louga,Louga,Louga,522,369,2024-07-29,47,12,507,3,15,365,49,2.4,Dengue,14,1,59.62,27.35,faible,24.0,71.3,2063.6,False,0.88,0.78,0.07,47.5,23.6
7,Centre Hospitalier Régional de Louga,Louga,Louga,522,369,2024-07-30,44,83,43,1,479,328,3,3.11,Covid-19,36,7,89.52,16.37,modéré,28.9,43.5,2787.5,False,0.73,0.41,0.09,157.2,38.3
7,Centre Hospitalier Régional de Louga,Louga,Louga,522,369,2024-07-31,99,6,439,4,83,366,32,3.23,Paludisme,39,6,86.13,7.11,modéré,32.6,81.7,4159.0,False,0.94,0.87,0.03,67.4,39.8
7,Centre Hospitalier Régional de Louga,Louga,Louga,522,369,2024-08-01,70,36,295,4,227,333,16,1.79,Grippe,93,8,93.41,16.55,élevé,30.8,42.0,1475.8,True,0.89,0.87,0.06,19.4,14.4
7,Centre Hospitalier Régional de Louga,Louga,Louga,522,369,2024-08-02,62,42,51,22,471,346,36,0.45,Paludisme,22,8,81.76,3.08,faible,24.7,49.4,2903.5,False,0.46,0.37,0.14,26.0,18.2
