hospital_id,hospital_name,region,city,capacity_beds,capacity_staff,date,patients_admitted,patients_released,patients_in_care,icu_patients,available_beds,available_staff,emergency_cases,mortality_rate,disease_name,new_cases,new_deaths,vaccination_rate,test_positivity_rate,risk_level,temperature_c,humidity_percent,population_density,public_alert,region_mobility_index,medical_supplies_index,staff_absence_rate,avg_wait_time_minutes,response_time_minutes
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-02,13,37,200,19,159,103,60,0.62,Grippe,38,0,61.12,8.68,modéré,24.5,63.2,1106.0,False,0.42,0.77,0.18,64.3,23.0
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-03,67,51,170,24,189,96,59,3.73,Grippe,6,4,55.08,26.0,faible,33.2,71.5,4083.9,False,0.39,0.42,0.1,140.2,46.2
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-04,47,55,288,16,71,103,31,2.74,Paludisme,48,1,48.85,9.8,modéré,32.8,76.0,2779.5,False,0.61,0.93,0.2,168.8,48.2
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-05,70,63,313,24,46,70,11,0.55,Grippe,87,7,77.34,20.53,élevé,32.7,45.9,1679.8,True,0.59,0.36,0.04,133.7,22.6
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-06,12,35,96,14,263,71,41,1.67,Choléra,58,8,79.62,22.5,modéré,32.1,74.8,3194.9,False,0.8,0.94,0.02,105.6,16.8
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-07,74,25,138,20,221,113,55,0.13,Choléra,81,5,59.46,28.17,élevé,28.4,84.8,1760.2,True,0.77,0.59,0.18,51.7,19.9
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-08,64,45,80,4,279,66,57,0.83,Covid-19,86,6,61.84,25.51,élevé,33.8,84.4,1596.3,True,0.27,0.7,0.04,35.5,42.4
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-09,28,44,323,5,36,81,44,1.52,Choléra,5,7,71.78,15.3,faible,27.7,69.6,1481.4,False,0.31,0.54,0.03,84.1,53.3
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-10,67,24,96,17,263,115,58,0.53,Dengue,116,5,54.15,6.05,élevé,35.0,52.7,2542.1,True,0.24,0.75,0.04,8.0,22.1
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-11,17,58,160,8,199,102,7,2.83,Dengue,5,3,71.69,28.98,faible,33.1,54.2,577.9,False,0.58,0.43,0.18,179.4,46.0
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-12,42,70,165,14,194,77,29,0.1,Choléra,116,4,86.32,3.38,élevé,31.6,68.8,2225.3,True,0.29,0.79,0.09,32.5,20.7
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-13,25,59,294,1,65,94,18,3.32,Paludisme,98,4,69.71,29.32,élevé,35.6,67.6,3964.5,True,0.82,0.63,0.01,120.3,17.8
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-14,24,10,117,7,242,85,53,2.35,Choléra,41,8,88.14,27.23,modéré,24.6,69.8,1824.3,False,0.43,0.78,0.15,68.6,4.5
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-15,83,13,333,11,26,103,25,2.28,Choléra,37,5,73.17,20.9,modéré,31.2,49.9,4575.2,False,0.74,0.63,0.13,11.6,25.6
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-16,58,72,294,17,65,110,34,2.79,Choléra,34,3,43.16,11.11,modéré,25.7,69.3,2698.8,False,0.95,0.52,0.17,26.7,10.6
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-17,72,79,64,22,295,69,45,3.76,Grippe,15,0,34.97,19.02,faible,37.1,74.8,2643.7,False,0.3,0.58,0.2,156.6,12.1
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-18,63,66,154,23,205,90,16,3.93,Grippe,24,5,59.34,12.93,faible,34.4,85.2,4299.9,False,0.32,0.86,0.08,48.8,48.6
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-19,25,50,234,21,125,98,19,2.08,Choléra,94,1,37.84,14.26,élevé,37.0,49.8,942.7,True,0.88,1.0,0.18,45.7,57.1
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-20,38,41,280,5,79,71,12,3.34,Paludisme,46,1,78.62,17.94,modéré,30.7,78.4,4177.6,False,0.45,0.55,0.03,21.4,28.5
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-21,44,59,197,4,162,76,27,2.19,Covid-19,88,2,51.98,19.56,élevé,33.3,73.0,840.7,True,0.69,0.5,0.15,65.9,54.5
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-22,71,54,234,9,125,112,44,1.78,Dengue,84,5,51.99,2.22,élevé,23.3,85.3,768.4,True,0.56,0.92,0.05,43.7,55.2
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-23,17,40,127,20,232,109,41,2.96,Covid-19,104,7,39.58,15.05,élevé,32.7,56.1,1449.4,True,0.54,0.44,0.14,169.3,21.7
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-24,51,77,215,23,144,73,31,2.98,Covid-19,73,3,77.36,4.02,modéré,28.0,73.2,3207.8,False,0.39,0.65,0.01,71.8,42.1
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-25,79,78,293,22,66,74,43,0.95,Grippe,5,9,73.86,21.78,faible,34.2,68.3,3018.8,False,0.38,0.34,0.11,168.5,40.7
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-26,70,88,231,21,128,76,3,3.75,Grippe,88,9,74.92,5.4,élevé,28.5,61.7,4731.5,True,0.66,0.62,0.09,143.0,13.7
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-27,92,42,51,3,308,107,14,2.52,Choléra,74,0,49.3,5.52,modéré,28.3,88.1,4115.3,False,0.94,0.7,0.1,35.6,37.4
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-28,46,46,285,15,74,67,7,2.36,Choléra,60,4,72.57,2.92,modéré,23.8,81.8,1645.2,False,0.37,0.59,0.19,94.7,45.9
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-29,82,28,150,21,209,70,46,3.0,Paludisme,39,7,62.63,11.95,modéré,30.1,42.7,4951.8,False,0.78,0.6,0.08,89.5,51.3
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-30,94,18,210,7,149,75,59,3.12,Dengue,18,1,79.89,20.02,faible,25.3,52.0,1547.0,False,0.83,0.81,0.02,114.1,51.2
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-05-31,23,22,74,25,285,106,57,3.21,Dengue,43,0,53.34,11.69,modéré,28.2,57.5,736.3,False,0.24,0.8,0.07,148.5,10.4
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-01,55,79,178,16,181,80,41,0.99,Choléra,119,8,59.06,29.66,élevé,27.9,86.7,3152.7,True,0.57,0.96,0.1,130.8,29.2
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-02,31,23,140,12,219,76,11,1.92,Dengue,72,10,35.68,12.34,modéré,34.1,59.9,1631.7,False,0.82,0.51,0.05,142.4,5.8
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-03,61,76,333,3,26,90,44,2.48,Dengue,107,8,57.71,3.76,élevé,23.8,44.2,2015.2,True,0.84,0.57,0.03,161.3,48.7
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-04,38,41,197,15,162,87,33,0.63,Choléra,0,5,86.72,7.06,faible,24.0,85.8,1160.0,False,0.88,0.66,0.2,165.1,46.1
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-05,60,25,215,12,144,69,8,1.74,Paludisme,78,6,30.95,23.83,modéré,36.1,68.8,147.4,False,0.82,0.41,0.16,27.1,27.7
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-06,27,38,26,13,333,83,17,2.13,Choléra,49,9,89.0,9.03,modéré,34.0,89.1,4307.7,False,0.45,0.87,0.15,13.1,4.3
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-07,45,17,68,5,291,82,40,2.67,Dengue,102,6,39.99,3.41,élevé,37.6,83.7,2677.7,True,0.28,0.55,0.13,101.4,13.8
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-08,43,29,309,18,50,74,9,0.1,Choléra,60,0,52.89,2.42,modéré,28.4,71.5,1536.9,False,0.6,0.4,0.02,33.5,42.0
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-09,46,80,120,9,239,110,32,0.64,Dengue,99,2,35.58,24.54,élevé,26.0,61.3,4719.2,True,0.47,0.71,0.11,31.3,6.6
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-10,92,82,202,4,157,86,21,1.01,Dengue,48,0,50.91,25.1,modéré,29.5,81.3,3784.9,False,0.56,0.73,0.01,130.7,15.5
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-11,10,44,341,20,18,109,48,2.18,Covid-19,59,3,77.4,6.52,modéré,38.9,72.2,1148.0,False,0.54,0.56,0.16,87.5,41.5
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-12,70,48,40,2,319,74,25,2.55,Covid-19,42,4,68.8,15.42,modéré,38.0,87.8,1477.3,False,0.89,0.31,0.2,67.1,37.9
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-13,37,37,140,24,219,83,37,2.82,Paludisme,110,5,68.02,2.51,élevé,28.2,84.4,1977.3,True,0.82,0.72,0.15,19.0,58.0
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-14,65,18,99,4,260,70,29,3.57,Grippe,91,1,79.0,24.73,élevé,32.5,77.7,4101.6,True,0.73,0.93,0.05,64.8,42.6
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-15,17,11,143,20,216,90,31,0.7,Grippe,55,9,64.91,4.14,modéré,38.7,88.5,2662.7,False,0.52,0.43,0.11,118.0,18.5
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-16,89,43,55,11,304,84,37,3.58,Covid-19,86,10,87.88,11.12,élevé,28.7,48.2,4895.6,True,0.47,0.32,0.01,48.5,42.1
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-17,50,13,100,1,259,104,8,0.79,Covid-19,83,9,57.92,29.9,élevé,26.4,65.5,2224.3,True,0.44,0.81,0.1,133.0,50.2
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-18,66,41,266,15,93,103,49,2.9,Dengue,67,8,79.29,23.84,modéré,31.9,53.0,1892.1,False,0.68,0.85,0.06,20.1,5.2
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-19,93,62,40,11,319,73,46,0.9,Paludisme,30,7,54.78,26.88,modéré,33.5,55.8,4561.3,False,0.98,0.67,0.2,13.6,35.0
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-20,25,20,119,4,240,101,42,2.88,Paludisme,120,9,34.36,12.09,élevé,24.0,46.2,2064.0,True,0.68,0.72,0.06,6.6,18.5
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-21,47,64,174,17,185,105,3,3.29,Dengue,109,9,80.69,21.64,élevé,35.5,44.3,4694.8,True,0.7,0.46,0.03,23.5,14.3
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-22,99,69,213,5,146,84,9,1.81,Dengue,85,6,92.05,29.16,élevé,35.0,67.5,1559.6,True,0.58,0.31,0.19,92.9,46.7
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-23,45,26,295,21,64,98,45,3.58,Paludisme,64,2,66.45,2.47,modéré,29.0,59.6,3099.6,False,0.95,0.85,0.15,31.1,12.9
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-24,21,26,137,1,222,70,46,3.2,Covid-19,41,3,63.75,7.4,modéré,23.8,62.7,337.1,False,0.55,0.67,0.05,14.7,30.9
9,Centre Hospitalier Régional de Matam,Matam,Matam,359,116,2024-06-25,64,72,140,13,219,102,8,2.46,Paludisme,100,2,61.36,26.93,élevé,34.1,54.2,749.7,True,0.63,0.73,0.08,154.3,28.1
