hospital_id,hospital_name,region,city,capacity_beds,capacity_staff,date,patients_admitted,patients_released,patients_in_care,icu_patients,available_beds,available_staff,emergency_cases,mortality_rate,disease_name,new_cases,new_deaths,vaccination_rate,test_positivity_rate,risk_level,temperature_c,humidity_percent,population_density,public_alert,region_mobility_index,medical_supplies_index,staff_absence_rate,avg_wait_time_minutes,response_time_minutes
3,Centre Hospitalier Régional de Diourbel,Diourbel,Diourbel,442,419,2024-06-17,26,10,94,0,348,372,57,1.49,Choléra,97,4,90.97,19.29,élevé,35.3,71.2,2886.5,True,0.89,0.85,0.06,145.9,40.7
3,Centre Hospitalier Régional de Diourbel,Diourbel,Diourbel,442,419,2024-06-18,45,89,369,15,73,393,38,1.04,Dengue,50,8,63.34,10.4,modéré,27.7,48.6,383.6,False,0.27,0.83,0.15,116.1,10.3
3,Centre Hospitalier Régional de Diourbel,Diourbel,Diourbel,442,419,2024-06-19,68,5,332,13,110,388,23,1.96,Dengue,24,3,54.39,12.05,faible,26.6,65.0,4795.8,False,0.43,0.85,0.09,52.8,48.0
3,Centre Hospitalier Régional de Diourbel,Diourbel,Diourbel,442,419,2024-06-20,10,35,133,12,309,416,19,0.77,Choléra,0,0,39.51,13.61,faible,25.1,77.8,766.9,False,0.27,0.69,0.0,15.8,43.9
3,Centre Hospitalier Régional de Diourbel,Diourbel,Diourbel,442,419,2024-06-21,59,58,293,10,149,412,8,0.45,Dengue,93,8,76.14,15.71,élevé,23.5,67.8,2967.9,True,0.52,0.48,0.15,52.5,55.7
3,Centre Hospitalier Régional de Diourbel,Diourbel,Diourbel,442,419,2024-06-22,54,30,374,12,68,373,32,1.89,Covid-19,66,10,36.04,19.13,modéré,22.4,73.2,1655.4,False,0.31,0.49,0.08,101.3,17.9
3,Centre Hospitalier Régional de Diourbel,Diourbel,Diourbel,442,419,2024-06-23,10,18,292,9,150,371,33,1.42,Grippe,32,10,53.46,22.62,modéré,32.3,56.5,2809.2,False,0.38,0.42,0.15,54.4,24.4
3,Centre Hospitalier Régional de Diourbel,Diourbel,Diourbel,442,419,2024-06-24,10,21,144,7,298,419,4,1.83,Choléra,80,1,92.55,15.06,élevé,35.1,62.4,4233.7,False,0.51,0.43,0.03,173.2,55.7
3,Centre Hospitalier Régional de Diourbel,Diourbel,Diourbel,442,419,2024-06-25,42,47,190,7,252,407,34,2.61,Paludisme,100,2,66.36,25.18,élevé,33.2,70.6,4818.3,True,0.51,0.54,0.12,24.3,28.7
3,Centre Hospitalier Régional de Diourbel,Diourbel,Diourbel,442,419,2024-06-26,10,29,212,25,230,391,50,3.67,Dengue,85,10,37.12,10.08,élevé,34.4,89.9,1291.3,True,0.49,0.56,0.08,51.6,18.0
3,Centre Hospitalier Régional de Diourbel,Diourbel,Diourbel,442,419,2024-06-27,22,49,331,23,111,372,12,2.39,Dengue,74,10,72.33,18.7,modéré,26.4,57.8,419.4,False,0.65,1.0,0.02,134.8,16.3
