_id,Public_Health_Outcomes_Framework,Award_Reference,Programme,Funding_Stream,Chief_Investigator,Contractor,Start_Date,End_Date,Award_Title,Abstract,Status,Funding_and_Awards_Link,Award Budget
690480784f47b4e2063a0c3c,Health Improvement,06/02/01,Health Technology Assessment,HTA Commissioned,Professor Martin Underwood,University of Warwick,2008-02-01,2011-10-31,Older People's Exercise intervention in Residential and nursing Accommodation (OPERA),"This is a joint proposal between the Centre for Health Sciences at Queen Mary University of London (QMUL) and the Clinical Trials Unit at Warwick Medical School. Design: Cluster randomised clinical effectiveness trial, preceded by a pilot study, with simultaneous process evaluation and cost utility analysis, and a secondary costs and consequences analysis based in residential and nursing homes (RNHs) Setting: 77 private and public sector RNHs (+ 3 pilot homes) in two localities: NE London & central England. We have active support for this project from our lead PCT in each locality. We will seek consent from the RNH's management, as guardians of the cluster, to take part in the randomised study, consent from individual residents to participate in the evaluation and separate consent from residents to participate in the exercise class component of the intervention. Target population: ALL people aged 65 or over living in residential or nursing homes except those identified by RNH staff to have a very limited life expectancy or another condition which would make participation difficult or inappropriate will be invited to participate in the study. Our exclusion criteria will be severe cognitive impairment (score of 10 or less on the Mini-Mental State Examination [MMSE]) and inability to communicate in English. All eligible residents will be invited to take part in study assessments. All residents, except those unable to transfer (with assistance from one person) from a wheelchair to chair will be invited to participate in the exercise classes; this includes residents who are not participating in the evaluation. Since mortality in this population is substantial we will have an ongoing programme of screening new residents to join the study. Health technology being assessed: Experienced physiotherapists will deliver: (1) a rolling educational programme for RNH staff to help provide an environment where residents can safely increase their physical activity, complemented by (2) a twice-weekly exercise classes for residents in each RNH, with a strong emphasis on the aerobic and social aspects of group exercise. Classes will include some residents who are not depressed; this will serve to improve the group dynamic, ensure a representative range of motivation and match how such a programme would work in 'real life'. Informed by the MRC framework for testing complex interventions, and specifically our previous work modelling a complex intervention for falls prevention, we will decide on the final components of the intervention in the pilot stage; we will then develop and refine the intervention package. The intervention builds on our previous experience of group exercise interventions and primary care staff training for musculoskeletal pain and falls prevention. Previous studies of exercise classes for depression in this group that have not included education for RNH staff have had equivocal results, and indicate that a brief intervention is likely to lose its effect in the long term. Our ongoing regular 'whole RNH' programme will maximise the possibility of demonstrating beneficial effects. Such an intervention will be built into the year-round routine of RNHs. Thus, participants recruited at baseline will be able to continue in the class for one year. In both the intervention and control RNHs we will run a rolling staff training programme, delivered by our research nurses in the control RNHs, promoting 'best usual care' around depression, i.e facilitating recognition and onward referral of depressed residents to conventional services. Measurement of costs and outcomes: We will collect outcome data on both depressed and non-depressed participants. Our primary effectiveness analyses will be based on the Geriatric Depression Scale-15 (GDS-15). Our three primary outcomes are: 1) The prevalence of depression in the nursing homes (amongst residents able to complete assessment) twelve months after randomisation. 2) The proportion of residents identified with depression at baseline who are in remission at six months. 3) The change in the severity of depressive symptoms in residents identified with depression at baseline at twelve months.",Complete,https://fundingawards.nihr.ac.uk/award/06/02/01,"£1,957,884.00"
690480784f47b4e2063a0c3d,Healthcare Public Health and Preventing Premature Mortality,07/33/01,Health Technology Assessment,HTA Commissioned,Professor David Cottrell,University of Leeds,2008-12-01,2018-05-31,"SHIFT. Self-Harm Intervention, Family Therapy: a randomised controlled trial of family therapy vs. treatment as usual for young people seen after second or subsequent episodes of self-harm","The SHIFT Trial has been designed as a pragmatic, individually-randomised, controlled trial comparing Family Therapy (FT) with Treatment as Usual (TAU) for adolescents aged 11 - 17 years who have engaged in at least one previous episode of self-harm. The trial aims to recruit 832 participants from centres in Yorkshire, Greater Manchester and London. Family therapy will be delivered by qualified family therapists using a modified version of the Leeds Family Therapy & Research Centre Systemic Family Therapy Manual (LFTRC Manual), the development of which was funded by the MRC to support trials of FT. The primary outcome is rate of repetition of self-harm leading to hospital attendance 18 months after randomisation. Secondary outcomes include rate of repetition at 12 months, cost-effectiveness, quality of life, and predictive / process measures.",Complete,https://fundingawards.nihr.ac.uk/award/07/33/01,"£3,405,988.00"
690480784f47b4e2063a0c3e,Health Protection,07/42/02,Health Technology Assessment,HTA Commissioned,Professor Nicola Low,University of Bern,2009-03-01,2012-03-31,Clinical and cost-effectiveness of technologies for testing and treating sexual partners of people with sexually transmitted infections: Evidence synthesis and mathematical modelling study,"Design: Evidence synthesis (ES): mathematical modelling study, cost-effectiveness analysis Search Strategy 1) Existing data, a) updateof NICE rapid review of effectiveness of partner notification to December 2007 (full access, Low is PI), b) distribution by clinical setting for sexually transmitted infections from Avon System for Surveillance of Sexually Transmitted Infections in Avon and Brent (full access, Low is PI), c) risk behaviour while care seeking from Patient Access to care for Sexually Transmitted Infections project (full access, Cassell is PI); d) community-wide impact on partner treatment and re-infection rates of patient-delivered partner therapy for chlamydia and gonorrhoea from randomised controlled trial in USA (access to data from Matthew Golden, PI, project collaborator); 2) Planned data collection, a) new rapid reviews of Medline, Embase, Cinahl, Cochrane Library, Jan 1990-Dec 2007 for data about sexually transmitted infection co-infection rates, partner treatment, complication and transmission rates, health-related quality of life of complications of sexually transmitted infection, b) practices for sexual partner testing and treatment from Genitourinary Medicine and Primary Care Sexually Transmitted Infections Services project (full access, Mercer is PI), c) health state valuation of complications of chlamydia using the Peninsula Medical School Value of Health Panel using the preferred methodological approach of NICE (full access, Green is co-applicant). 3) Existing individual-based transmission dynamic network mathematical models, a) Chlamydia Screening Studies (ClaSS) project model (full access, Barton, Low and Roberts are authors), b) Health Protection Agency model of chalmydia transmission (full access, Edmunds and Turner are authors), c) Imperial College model of chlamydia and gonorrhoea transmission (full access, Garnett and White are authors). Review strategy and evidence synthesis 1) We will use NICE-recommended methods for rapid quality assessment and data extraction for literature reviews and determine best available estimates by consensus. We will collate and document sources for all other parameter values. 2) Mathematical modelling: Using data collected from literature searches and existing studies we will parameterise and program each of the three mathematical models to be able to provide the required outputs for each infection. We will then examine the model outputs for each partner management strategy (epidemiological treatment with testing - base case, partner treatment without testing, partner treatment after test results known, partner testing for index infection only). The most plausible estimates for each infection and strategy will be derived from iterative comparison and programming, which reveal sources of uncertainty and allow the robustness of inferences to be assessed. 3) Cost-effectiveness analysis: This will be from the health service perspective using current NICE recommendations for the discounting of future costs and outcomes. We will use model data for the numbers of infections averted, cases of infertility and HIV averted by adopting different partner testing strategies. As above, we plan to collect data on HRQL for female reproductive tract complications of chlamydia. We will apply the preference weights to health states in models to derive quality adjusted life years (QALYs).",Complete,https://fundingawards.nihr.ac.uk/award/07/42/02,"£318,237.59"
690480784f47b4e2063a0c3f,Health Improvement,07/44/03,Health Technology Assessment,HTA Commissioned,Professor Janet Clarkson,University of Dundee,2010-04-01,2018-06-30,FiCTION - Filling Children's Teeth: Indicated Or Not?,"Dental decay is the most common disease of childhood, with a large health and economic impact. Although conventional clinical opinion is that carious primary (baby) teeth should be restored (filled), the majority of cavities in young children are unrestored. There is, as yet, no conclusive evidence for the most effective approach to managing decay in baby teeth. The results of this multi-centre randomised control clinical trial will provide evidence on the clinical and cost-effectiveness of three treatment approaches. Consenting children, attending for regular dental care, will be randomly assigned to one of the three treatment groups; with 'conventional fillings' (using dental drills and local anaesthetic injections to cut away decay, then filling the cavity), 'intermediate fillings' (sealing decay into teeth with filling materials, generally without using dental drills or injections), or 'no fillings'. They will then be reviewed yearly (and at any extra dental visits) for episodes of dental pain, and abscess formation. In addition, the impact of the disease, and its treatment, on their quality of life will be assessed. The follow up period is for 4 years in the first instance. Specific objectives are: 1. to compare the effectiveness, in terms of clinical and patient-centred outcomes, of three treatment approaches to the management of decay in primary teeth i.e. conventional fillings, intermediate treatment and no fillings. Specifically: (i) to compare the incidence of pain and sepsis that occur with the three treatment approaches; (ii) to compare the incidence and pattern of new decay in both primary and permanent teeth, quality of life issues, and the cost-effectiveness of the three treatment approaches; and 2. to examine patient, parent and dentist preferences for the three treatment approaches. The results of this study will have important implications for individual care for children with dental caries and, as dental caries is such a common disease, there will be implications for service management. In order to ensure the results are widely applicable, the study will be conducted in Primary Care, where most children's dentistry is carried out, and will run in practices which have varying local factors; inner-city London, the North of England, Wales and Scotland. The research will be led from the University of Dundee (in collaboration with others from the Universities of Cardiff, Glasgow, Leeds, London, Newcastle and Sheffield) but a strong multi-disciplinary research team has been established to work alongside a UK-wide team of specialist paediatric, and Primary Care dentists, ensuring that whilst the trial design and conduct is of the highest standard, it remains practical and pragmatic.",Complete,https://fundingawards.nihr.ac.uk/award/07/44/03,"£2,844,535.22"
690480784f47b4e2063a0c40,Healthcare Public Health and Preventing Premature Mortality,08/104/04,Health Technology Assessment,HTA Commissioned,Professor Ivor Chestnutt,Cardiff University,2011-04-01,2016-03-31,Seal or Varnish? A randomised trial to determine the relative cost and effectiveness of pit and fissure sealants and fluoride varnish in preventing dental decay,"Dental caries (tooth decay) remains a significant source of morbidity in children, particularly those from deprived backgrounds where levels of decay are three times higher than in better off areas. In the worst affected areas 69% of 12 year olds have decay in their permanent teeth. The majority of this (84%) is located on the biting surface of the first molars which erupt at age six. We know that the application of pit and fissure sealants to the biting surface is effective in preventing tooth decay. This treatment consists of a plastic coating that occludes the rough biting surface which harbour decay-causing bacteria. The application at six-monthly intervals of fluoride varnish, containing high levels of fluoride is also known to prevent decay. This works by strengthening the tooth enamel making it more decay resistant. What is not known is which of these two modes of treatment works best and which is the most cost-effective. It is also not know which of these treatments are most acceptable from the perspective of children and their parents. Fissure sealant application requires an involved dental intervention (use of rotary brush, tooth surface preparation to make the sealant stick, use of a sucker to keep the tooth dry). Varnish application simply involves painting the tooth surface. This trial will examine the relative clinical and cost effectiveness of these treatments and investigate their acceptability to children and their parents. The study will take the form of a randomised trial in which children will receive either fissure sealants on their first permanent molars or fluoride varnish. We will determine the success of the study, by comparing the proportion of children who receive the alternative treatments who are caries-free in their first molar teeth after three years. We will also look at the cost effectiveness and patient acceptability of the treatments. The findings from this study will be applicable across the NHS, particularly in areas of high need with greatest health inequalities.",Complete,https://fundingawards.nihr.ac.uk/award/08/104/04,"£1,327,852.28"
690480784f47b4e2063a0c41,Health Protection,08/13/02,Health Technology Assessment,HTA Themed Call,Dr Andre Charlett,Health Protection Agency,2009-11-01,2014-01-31,Using evidence to reduce risk of healthcare acquired infection following primary hip replacement,"Aim: to assess the cost-effectiveness of competing strategies that reduce risk of infection following hip replacement in an NHS hospital? Design: Decision analytic cost-effectiveness model informed by existing evidence. Target population: Patients undergoing primary hip replacement in NHS hospitals. Setting: NHS acute and community care services. Methods: State transition Markov models will be developed and updated with data that describe relevant parameters. Systematic reviews will be undertaken and the results meta-analysed. Other sources of evidence, such as surgical registers, will be assessed for quality and used to update model parameters. Uncertainties will be assessed by (i) probabilistic interpretation of parameter uncertainty (ii) important sources of variability will be considered. A Bayesian approach will allow external prior information (e.g. expert opinion) to be incorporated into the analysis. Markov Chain Monte Carlo (MCMC) re-sampling will be undertaken from each parameter distribution, in the WinBugs environment. The result will be a joint distribution of cost and QALY outcomes. These points describe the joint uncertainty among model parameters. Net monetary benefits will be calculated and described and interpreted for the purpose of decision making. Expected output of research: A comprehensive policy for the management of infection risk among patients undergoing primary hip replacement in NHS hospitals. The policy will depend on the cost-effectiveness criterion. There will be intermediate outcomes as we progress toward this goal: estimates of the clinical effects of risk reducing interventions; estimates of the changes to economic cost outcomes; and, estimates of the changes to health benefits. We will identify the efficient level of investment in infection control programmes, and identify the best strategies to implement. If the decision is highly uncertain, we will estimate the value of perfect information to inform future research efforts",Complete,https://fundingawards.nihr.ac.uk/award/08/13/02,"£367,246.30"
690480784f47b4e2063a0c42,Healthcare Public Health and Preventing Premature Mortality,08/1803/226,Health and Social Care Delivery Research,Service Delivery and Organisation,Professor Mike Dent,Staffordshire University,2008-11-01,2011-07-31,Getting the benefit from electronic patient information that crosses organisational boundaries,"This is a study of the organisation and management of patient information sharing across and between organisations. The PCTs in this project are each involved in a variety of initiatives to share information with other organisations. These initiatives are broadly of two kinds. They are part of national initiatives, such as within NPfIT, where technological platforms are being created that enable electronic patient records to be shared by many organisations. They are also engaged in local initiatives (e.g. community nursing) and the tailoring of NPfIT subsystems in support of local needs. This is a theory driven, empirically based, action research. There are two aims: 1) An examination of the implications and possibilities of sharing of e-Health records across organisational boundaries for improved clinical care and the better management of healthcare; 2) To identify the factors in the design, implementation and subsequent evolution of these systems to facilitate inter-organisational uptake of the systems. The theoretical framework will combine concepts of organisational contingency with complexity theory to analyse emergent practices and behaviour commonly associated with e-systems. The organisational context for the research is primary care and the role of the Primary Care Trust. The study is based on a comparative case study of two PCTs in the Midlands (Northants and Walsall). These are both implementing and planning to introduce innovative e-health solutions and systems. Both can be characterised as being on the forefront of e-health developments within the NHS and developing solutions to cross-boundary sharing of patient information. The methodology is mixed-methods and longitudinal. It combines interviews with mapping usage data from computer logs alongside questionnaire survey and document analysis. As action research, it will engage project staff, management as well as patient and carer groups from an early stage. The objectives of the study are as follows: 1. To explore by longitudinal study the barriers/facilitators in the development of e-health systems and the outcomes achieved when they are used across organisational boundaries in two PCTs. 2. To explore, for each PCT, the differences between systems created as a result of national and local strategies to produce platform-independent electronic systems and those that are locally developed as a result of inter-organisational initiatives. 3. To examine whether an action research framework in which usage reports are provided every three months, alongside feedback sessions to managers and end users, can promote effective take-up by providing an evidence base of benefits and barriers. 4. To synthesise the results with other studies of inter-organisational healthcare systems and similar systems outside healthcare, in order to produce guidance on the development and evolution of successful systems.",Complete,https://fundingawards.nihr.ac.uk/award/08/1803/226,"£329,066.00"
690480784f47b4e2063a0c43,Healthcare Public Health and Preventing Premature Mortality,08/1806/262,Health and Social Care Delivery Research,Service Delivery and Organisation,Professor Rod Sheaff,University of Plymouth,2009-12-01,2013-05-31,NHS Commissioning Practice and Health System Governance,"Few questions are more important to the NHS than how its commissioners can exercise governance over local health economies and service providers, and how much governance to exercise. A more strongly evidence-based programme theory of PCT commissioning would strengthen commissioners' managerial practice through a stronger understanding of how to select and apply different commissioning practices, how these modes of commissioning work and when to desist from attempting to (over-)manage providers of NHS services. The proposed study compares NHS modes of commissioning with selected examples of commissioning in the Netherlands and in the German health systems. This research therefore aims to explore which practices for commissioning health services are most effective for different contexts, producing evidence-based recommendations to improve NHS commissioning practice. It also aims to explore what NHS commissioners can learn from commissioning in two other European health systems and, should personal health budgets materialise, describe their implications for commissioning within the English NHS. To achieve these aims we will make a realistic evaluation, describing and comparing commissioning cycles across: (1) Three different care groups (acute, long-term, health promotion); (2) Four different PCTs in England; (3) Three health systems (England, Germany, Netherlands). For each of these settings we will describe the cycle of deciding service objectives, selecting health care providers, negotiating contracts (or the equivalent), monitoring compliance with the contracts, and obtaining any redress or adjustments necessary. By comparing these cases we will explore what implications the use of different health care 'technologies' has for commissioning, what implications the differences between PCT organisational structures and management practices have, and what the implications of different legal and regulatory systems, and units of payment, are.",Complete,https://fundingawards.nihr.ac.uk/award/08/1806/262,"£388,416.39"
690480784f47b4e2063a0c44,Healthcare Public Health and Preventing Premature Mortality,08/1809/230,Health and Social Care Delivery Research,Service Delivery and Organisation,Professor Jenny Shaw,The University of Manchester,2009-02-01,2012-07-31,Health and social care services for older adults in prison,"Prisoners aged 60 and over are the fastest-growing age group in the England and Wales prison system. It has been established that they have much more complex health and social needs than younger prisoners, and that these are often unmet. The cost of housing older prisoners has been estimated at six times that of younger prisoners. Despite this, there is no national strategy for the care and management of older prisoners, and few prisons provide any specialist services for their different needs. Transition in and out of prison is particularly difficult for older people, in particular the provision of relevant services for their increased health and social needs. This project aims to determine what health and social services are currently available for older prisoners; to explore the main issues of entering and leaving prison; and to design a new system of assessment and care planning for older people newly received into custody. Policy states that prison health services should be equivalent in scope and quality to those available in the community. However, social services departments rarely provide any input to prisons, meaning many older prisoners' mobility and functional needs are not addressed. We will establish, by questionnaire, current specialist service provision for older people at all prisons in England and Wales; examine the integration between health and social services in each; and, by qualitative interview, establish factors that promote and inhibit effective integration. Transitions between health services and other institutions are problematic for older people, and this is particularly true for older people entering prison. We will conduct qualitative interviews with approximately 70 people aged 60+ admitted at two prisons to explore the difficulties faced by this group, and what may improve their care. We will also review their clinical records to determine what contact they have with the various prison agencies and departments. There is currently no specialist assessment for older people on reception to prison, which means that many of their health and social needs are not routinely identified or addressed. We will facilitate an action learning group to design, implement and evaluate a new system of assessment and care planning in one prison, based on principles of the Single Assessment Process already established in the community. The needs of older people on discharge from prison have yet to be established. We will conduct qualitative interviews with around 60 prisoners immediately before release, and again in the community. These will cover what problems they expected upon release, and how these were dealt with in the community. All qualitative interviews will be examined using constant comparative methods of thematic analysis, while quantitative data will be reported using standard descriptive statistics. This project will build on the existing continuity of care literature both in prison and community environment. This group of older adults has specific and complex needs not currently addressed by existing service provision. The proposed research will directly improve the care of older people entering prison, and provide useful data on which to base future interventions.",Complete,https://fundingawards.nihr.ac.uk/award/08/1809/230,"£323,471.40"
690480784f47b4e2063a0c45,Healthcare Public Health and Preventing Premature Mortality,08/53/15,Health Technology Assessment,HTA Clinical Trials & Evaluation,Professor John Campbell,University of Exeter,2009-11-01,2013-10-31,The effectiveness and cost effectiveness of telephone triage of patients requesting same day consultations in general practice: a cluster randomised controlled trial comparing nurse-led and GP-led management systems. - The ESTEEM trial,"A growing workload and increasing demands on UK primary health care suggest a need to explore news ways of providing care for patients. This study will investigate the effectiveness of telephone triage as one method of primary care provision. Many practices currently operate GP or nurse-led triage systems of different types as a way of providing fast access to care for patients and in order to manage practice workload, despite uncertainty about the benefits and costs. UK based trials of primary care telephone consultation and triage to date have been conducted in relatively small populations and/or in limited numbers of practice settings, and without the use of computerised interactive decision support. Moreover, there is currently little robust evidence of the effectiveness of telephone triage for patients requesting same day consultations in the context of in-hours general practice. This important agenda will be addressed in a large scale pragmatic cluster randomised controlled trial of two forms of triage currently being promoted by the NHS for use in UK Primary Care. The trial will compare the clinical and cost effectiveness of GP-led telephone triage versus nurse-led computer-supported telephone triage for patients requesting same day consultations in primary care. The principal outcomes assessed will be cost, primary care workload, patient safety, patient health status and patient experience of care. A nested process evaluation will examine the acceptability of the systems to patients and practice staff. The research will be conducted in 42 GP practices from Devon, Warwick, Bristol and Southampton, with individual practices randomly allocated to usual care, nurse-led triage or GP-led triage arms.",Complete,https://fundingawards.nihr.ac.uk/award/08/53/15,"£1,995,533.36"
